Variable = x, y, z, vx, vy, vz, v d
ZONE T = "wall", N=413,   E= 180, F=FEPOINT, ET=triangle
21.786 0.0 10.0   0   0   0   0.0  112
29.048 0.0 10.0   0   0   0   0.0  113
22.024 -0.5 5.0   0   0   0   0.0  114
29.524 -0.5 5.0   0   0   0   0.0  115
22.024 0.0 5.0   0   0   0   0.0  116
29.524 0.0 5.0   0   0   0   0.0  117
50.833 -0.5 10.0   0   0   0   0.0  118
36.31 0.0 10.0   0   0   0   0.0  119
43.571 0.0 10.0   0   0   0   0.0  120
49.286 -0.5 5.0   0   0   0   0.0  121
44.286 -0.5 5.0   0   0   0   0.0  122
36.786 -0.5 5.0   0   0   0   0.0  123
36.786 0.0 5.0   0   0   0   0.0  124
65.357 -0.5 10.0   0   0   0   0.0  125
50.833 0.0 10.0   0   0   0   0.0  126
58.095 0.0 10.0   0   0   0   0.0  127
56.548 -0.5 5.0   0   0   0   0.0  128
63.901 -0.5 5.0   0   0   0   0.0  129
63.901 0.0 5.0   0   0   0   0.0  130
79.881 -0.5 10.0   0   0   0   0.0  131
65.357 0.0 10.0   0   0   0   0.0  132
72.619 0.0 10.0   0   0   0   0.0  133
71.162 -0.5 5.0   0   0   0   0.0  134
78.515 -0.5 5.0   0   0   0   0.0  135
71.162 0.0 5.0   0   0   0   0.0  136
78.515 0.0 5.0   0   0   0   0.0  137
94.405 -0.5 10.0   0   0   0   0.0  138
79.881 0.0 10.0   0   0   0   0.0  139
87.143 0.0 10.0   0   0   0   0.0  140
85.777 -0.5 5.0   0   0   0   0.0  141
93.13 -0.5 5.0   0   0   0   0.0  142
85.777 0.0 5.0   0   0   0   0.0  143
93.13 0.0 5.0   0   0   0   0.0  144
108.929 -0.5 10.0   0   0   0   0.0  145
94.405 0.0 10.0   0   0   0   0.0  146
101.667 0.0 10.0   0   0   0   0.0  147
100.392 -0.5 5.0   0   0   0   0.0  148
107.745 -0.5 5.0   0   0   0   0.0  149
100.392 0.0 5.0   0   0   0   0.0  150
107.745 0.0 5.0   0   0   0   0.0  151
123.452 -0.5 10.0   0   0   0   0.0  152
108.929 0.0 10.0   0   0   0   0.0  153
116.19 0.0 10.0   0   0   0   0.0  154
115.007 -0.5 5.0   0   0   0   0.0  155
122.36 -0.5 5.0   0   0   0   0.0  156
115.007 0.0 5.0   0   0   0   0.0  157
122.36 0.0 5.0   0   0   0   0.0  158
137.976 -0.5 10.0   0   0   0   0.0  159
123.452 0.0 10.0   0   0   0   0.0  160
130.714 0.0 10.0   0   0   0   0.0  161
129.622 -0.5 5.0   0   0   0   0.0  162
136.975 -0.5 5.0   0   0   0   0.0  163
129.622 0.0 5.0   0   0   0   0.0  164
136.975 0.0 5.0   0   0   0   0.0  165
152.5 -0.5 10.0   0   0   0   0.0  166
137.976 0.0 10.0   0   0   0   0.0  167
145.238 0.0 10.0   0   0   0   0.0  168
144.237 -0.5 5.0   0   0   0   0.0  169
151.59 -0.5 5.0   0   0   0   0.0  170
144.237 0.0 5.0   0   0   0   0.0  171
151.59 0.0 5.0   0   0   0   0.0  172
